STATION_NA,longitude,latitude,cluster_25,cluster_lat,cluster_long,num_stations
RENJONG LRT STATION,103.890423676928,1.386756050052035,1,1.3899554057800012,103.8875907415092,12
SENGKANG MRT STATION,103.89548936790352,1.3917192967765777,1,1.3899554057800012,103.8875907415092,12
THANGGAM LRT STATION,103.87562660067,1.39719524713131,1,1.3899554057800012,103.8875907415092,12
TONGKANG LRT STATION,103.886023235751,1.389279584473315,1,1.3899554057800012,103.8875907415092,12
BUONA VISTA MRT STATION,103.790658812565,1.3069294345160023,0,1.3094581434162889,103.78557487509792,8
CLEMENTI MRT STATION,103.76537190030676,1.3147708499395074,0,1.3094581434162889,103.78557487509792,8
COMMONWEALTH MRT STATION,103.7983787514185,1.30237267589,0,1.3094581434162889,103.78557487509792,8
DOVER MRT STATION,103.778384743296,1.3115543125642048,0,1.3094581434162889,103.78557487509792,8
HOLLAND VILLAGE MRT STATION,103.79588732699531,1.3110003169231768,0,1.3094581434162889,103.78557487509792,8
KENT RIDGE MRT STATION,103.784575158892,1.293486897731555,0,1.3094581434162889,103.78557487509792,8
KING ALBERT PARK MRT STATION,103.783795922498,1.33575656159266,0,1.3094581434162889,103.78557487509792,8
ONE-NORTH MRT STATION,103.78754638481176,1.299794098173205,0,1.3094581434162889,103.78557487509792,8
CANBERRA MRT STATION,103.8297121775054,1.443227401411476,14,1.427407113634116,103.8271744042632,5
KHATIB MRT STATION,103.8329367546215,1.417403843581535,14,1.427407113634116,103.8271744042632,5
SEMBAWANG MRT STATION,103.82001511665648,1.4489224371143126,14,1.427407113634116,103.8271744042632,5
SPRINGLEAF MRT STATION,103.818158548631,1.3980974104338066,14,1.427407113634116,103.8271744042632,5
YISHUN MRT STATION,103.8350494239016,1.42938447562945,14,1.427407113634116,103.8271744042632,5
CHANGI AIRPORT MRT STATION,103.988290611106,1.3567808385324849,13,1.3440425216777094,103.9664471983454,4
EXPO MRT STATION,103.96239435938976,1.3351797416167688,13,1.3440425216777094,103.9664471983454,4
SIMEI MRT STATION,103.953818676297,1.34266179453371,13,1.3440425216777094,103.9664471983454,4
UPPER CHANGI MRT STATION,103.9612851465888,1.341547712027874,13,1.3440425216777094,103.9664471983454,4
CHINESE GARDEN MRT STATION,103.73278503871234,1.34199555304583,9,1.3397766688182082,103.73207634860722,3
JURONG EAST MRT STATION,103.742365084063,1.3332114638253474,9,1.3397766688182082,103.73207634860722,3
LAKESIDE MRT STATION,103.72107892304632,1.3441229895834468,9,1.3397766688182082,103.73207634860722,3
CHOA CHU KANG LRT STATION,103.74460757173652,1.384989831957315,2,1.3838767462301795,103.7474073736944,6
CHOA CHU KANG MRT STATION,103.74441550271284,1.3854246936999972,2,1.3838767462301795,103.7474073736944,6
KEAT HONG LRT STATION,103.749226841606,1.37846496701683,2,1.3838767462301795,103.7474073736944,6
SOUTH VIEW LRT STATION,103.74510113108,1.38031765699103,2,1.3838767462301795,103.7474073736944,6
TECK WHYE LRT STATION,103.753826102342,1.37656419493699,2,1.3838767462301795,103.7474073736944,6
YEW TEE MRT STATION,103.747267092689,1.397499132778915,2,1.3838767462301795,103.7474073736944,6
DAMAI LRT STATION,103.90870304151,1.40516532087124,24,1.409553981983252,103.9029634218909,10
NIBONG LRT STATION,103.90030268113,1.4118415485297,24,1.409553981983252,103.9029634218909,10
PUNGGOL LRT STATION,103.901957081773,1.40436948095392,24,1.409553981983252,103.9029634218909,10
PUNGGOL MRT STATION,103.902452096822,1.40526290899525,24,1.409553981983252,103.9029634218909,10
PUNGGOL POINT LRT STATION,103.9067555486285,1.41678941792763,24,1.409553981983252,103.9029634218909,10
