school_name,address,postal_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,latitude,longitude,cluster
CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2,689905,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.37775890093367,103.741832917421,5
CHUA CHU KANG SECONDARY SCHOOL,3 TECK WHYE CRESCENT,688845,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.38319029263484,103.751878290333,5
CHUNG CHENG HIGH SCHOOL (MAIN),50 GOODMAN ROAD,439012,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,True,True,False,False,1.30509154753048,103.891653229373,2
CHUNG CHENG HIGH SCHOOL (YISHUN),11 YISHUN STREET 61,768547,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.41922603586175,103.837390782849,7
CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3,129903,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.31506321827875,103.763144493687,4
CLEMENTI TOWN SECONDARY SCHOOL,10 CLEMENTI AVE 3,129904,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.31553912945073,103.762020598524,4
COMMONWEALTH SECONDARY SCHOOL,698 WEST COAST ROAD,608784,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,True,False,False,1.31920395934801,103.745637393049,0
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVAE STREET,545091,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.39444529636566,103.897812229905,1
COMPASSVALE SECONDARY SCHOOL,51 COMPASSVALE CRESCENT,545083,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.39614083952009,103.899847164494,3
CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4,689814,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.38026516111464,103.736554295636,5
CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24,648347,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.35148548772662,103.707578404944,0
